param M := 150;
param N1 := 5;
param N2 := 5;
param A1:
 1 2 3 4 5 :=
1 3.805117e+00 8.889895e-01 1.336482e+00 2.822679e+00 2.199802e+00
2 7.686294e+00 1.470260e+00 3.299511e+00 2.374339e+00 3.021182e+00
3 1.903244e+00 4.691702e+00 5.248153e+00 5.735720e+00 7.269223e+00
4 1.615163e+00 4.028154e+00 4.159318e+00 6.724543e+00 8.871550e+00
5 1.715079e+00 2.861340e+00 4.953261e+00 5.274999e+00 6.593785e+00
6 1.987648e+00 4.055906e+00 5.550663e+00 7.125131e+00 1.026725e+01
7 1.477998e+00 3.861775e+00 4.590084e+00 7.389245e+00 7.901389e+00
8 1.363639e+00 9.725861e-01 1.464701e+00 3.200368e+00 2.468443e+00
9 1.750735e+00 4.962212e+00 5.255816e+00 8.587807e+00 8.744249e+00
10 1.833430e+00 2.816781e+00 5.348246e+00 4.572843e+00 9.131358e+00
11 1.774482e+00 2.364450e+00 4.126644e+00 4.851334e+00 5.882215e+00
12 2.985757e+00 2.176141e+00 1.373553e+00 2.046642e+00 5.989858e+00
13 6.490037e-01 1.561963e+00 1.060988e+00 1.041439e+00 1.469122e+00
14 2.897790e+00 1.956336e+00 3.134568e+00 3.903146e+00 4.962478e+00
15 1.486697e-01 8.240345e-01 5.279691e-01 3.599180e-01 6.064883e-01
16 1.822967e+00 4.302472e+00 5.559502e+00 7.541815e+00 1.050552e+01
17 2.723657e+00 2.287333e+00 3.581446e+00 5.884583e+00 5.352651e+00
18 3.768144e+00 3.761327e+00 3.801230e+00 4.715728e+00 6.853286e+00
19 1.871637e+00 3.852053e+00 5.488739e+00 7.346435e+00 9.607290e+00
20 3.316112e+00 3.762382e+00 8.601807e+00 7.871207e+00 7.593067e+00
21 1.467489e+00 9.073733e-01 1.252644e+00 1.625254e+00 1.825712e+00
22 1.026476e+00 2.760526e+00 7.880934e+00 4.105373e+00 5.146867e+00
23 7.438551e-01 1.516814e+00 3.437093e+00 3.025427e+00 4.823525e+00
24 1.709714e-01 9.248535e-01 3.561645e-01 5.750789e-01 7.737312e-01
25 1.976738e+00 3.539146e+00 5.035807e+00 5.797416e+00 7.128367e+00
26 5.752157e-01 7.224255e-01 1.273853e+00 6.250996e+00 2.082151e+00
27 9.696054e-01 2.922229e+00 2.848089e+00 5.315197e+00 4.747813e+00
