param M := 100;
param N1 := 5;
param N2 := 5;
param A1:
 1 2 3 4 5 :=
1 1.856456e+00 1.545573e+00 2.329089e+00 7.007652e+00 6.504385e+00
2 1.264986e+00 2.758722e+00 4.067376e+00 4.754744e+00 6.532551e+00
3 9.164800e-01 2.260776e+00 2.775961e+00 3.893189e+00 4.556569e+00
4 9.702234e-01 1.712561e+00 2.719098e+00 3.625483e+00 4.281486e+00
5 2.620315e+00 3.768034e+00 4.452363e+00 8.798546e+00 1.106510e+01
6 9.987360e-01 3.643190e+00 3.817244e+00 3.747643e+00 4.789955e+00
7 1.162729e+00 2.447092e+00 3.231276e+00 4.410985e+00 5.209820e+00
8 1.959219e+00 2.461660e+00 2.844110e+00 6.949745e+00 6.635863e+00
9 3.864452e-01 1.046540e+00 7.134831e-01 9.123821e-01 5.601698e+00
10 2.037071e+00 4.067569e+00 7.134243e+00 8.046319e+00 9.764151e+00
11 1.871705e+00 4.387650e+00 9.485874e+00 7.415432e+00 9.336685e+00
12 1.594136e+00 1.245668e-01 3.166083e-01 1.256276e+00 2.925690e+00
13 6.145994e-02 1.963806e+00 2.309935e+00 1.332933e-01 2.296257e-01
14 2.444733e+00 3.898275e+00 5.828237e+00 7.950881e+00 9.703768e+00
15 2.836777e+00 4.044999e+00 5.808795e+00 7.846037e+00 1.108788e+01
16 1.885357e+00 5.767929e+00 6.431252e+00 1.040507e+01 1.011936e+01
17 1.076435e+00 1.705550e+00 2.224077e+00 6.618333e+00 3.868799e+00
18 7.708413e-01 2.111753e+00 5.049803e-01 3.519868e-01 1.058569e+00
19 7.075611e-01 6.930878e-01 1.858688e+00 1.497284e+00 4.019143e+00
20 2.262659e+00 3.627450e+00 4.722228e+00 9.169407e+00 8.480100e+00
21 5.668269e-01 8.635688e-01 1.629853e+00 1.752294e+00 2.722736e+00
22 1.428641e+00 3.046371e+00 5.174852e+00 6.693987e+00 7.255672e+00
23 9.062798e-01 4.121238e+00 3.692916e+00 2.975735e+00 5.179003e+00
24 4.788627e+00 4.825311e+00 6.968236e+00 6.284897e+00 7.876073e+00
25 1.268613e+00 3.408694e+00 1.382820e+00 2.430364e+00 2.714419e+00
26 1.855060e-01 4.870436e-01 1.618141e+00 3.311165e+00 2.688459e+00
27 2.772282e+00 3.728760e+00 6.773654e+00 7.421933e+00 9.399556e+00
28 2.221324e+00 5.473599e+00 5.194220e+00 8.557528e+00 8.694752e+00
29 1.765479e+00 2.861191e+00 5.093006e+00 5.729433e+00 8.799889e+00
30 2.241530e+00 4.642020e+00 1.346137e+01 8.252403e+00 9.481241e+00
31 1.829150e+00 7.493889e+00 5.692918e+00 7.845758e+00 8.569505e+00
32 1.917328e+00 8.645231e-01 2.599244e+00 2.241253e+00 1.673447e+00
33 2.019800e+00 3.494761e+00 6.537746e+00 7.339078e+00 9.209027e+00
34 3.114183e+00 4.392262e+00 8.668453e+00 7.015488e+00 8.561319e+00
35 1.790744e+00 3.805529e+00 5.418487e+00 9.251149e+00 9.055119e+00
36 3.813371e+00 3.176744e+00 4.241963e+00 4.846010e+00 6.223730e+00
37 1.235975e+00 2.584014e+00 3.136753e+00 4.120581e+00 8.023787e+00
38 2.001701e+00 3.916563e+00 5.667162e+00 7.626794e+00 9.186417e+00
39 2.485961e+00 9.745971e+00 5.120648e+00 7.568010e+00 1.106790e+01
40 2.210067e+00 3.436301e+00 4.894823e+00 6.825265e+00 8.080091e+00
41 8.535694e-01 1.784769e+00 1.967479e+00 2.736154e+00 5.256785e+00
42 1.565305e+00 3.708284e+00 4.537250e+00 6.828923e+00 7.966334e+00
43 4.412394e+00 3.038893e+00 4.505974e+00 1.183068e+01 8.965391e+00
44 1.304297e+00 4.130532e+00 3.518596e+00 4.078895e+00 5.085526e+00
45 1.084098e+00 2.762750e+00 3.518136e+00 4.547616e+00 9.378036e+00
46 1.395167e+00 3.131483e+00 3.575210e+00 4.646636e+00 4.866577e+00
47 2.363262e+00 4.929840e+00 4.979216e+00 6.619156e+00 8.689405e+00
48 8.399911e-01 1.656467e+00 3.996220e+00 3.310782e+00 5.002916e+00
49 1.921403e+00 5.826493e+00 5.718855e+00 7.893158e+00 9.345102e+00
50 1.098228e+00 2.403358e+00 4.877523e+00 6.613404e+00 8.682538e+00
51 3.578830e+00 4.406736e+00 6.410400e+00 7.096141e+00 1.029099e+01
52 9.230444e-01 1.991801e+00 3.471218e+00 3.820224e+00 4.765393e+00
53 2.197655e+00 2.841166e+00 2.115546e+00 2.726992e+00 4.950170e+00
54 2.926002e+00 4.447686e+00 5.937780e+00 6.244947e+00 7.816284e+00
55 4.313508e+00 1.783055e+00 2.039390e+00 1.924343e+00 2.194015e+00
56 3.040698e+00 3.216071e+00 4.886961e+00 8.533046e+00 7.999399e+00
57 1.074372e-01 9.481955e-01 7.068324e-01 5.888540e-01 1.185852e+00
58 1.577685e+00 3.228482e+00 4.928287e+00 6.595961e+00 8.799854e+00
