param M := 50;
param N1 := 5;
param N2 := 5;
param A1:
 1 2 3 4 5 :=
1 3.618645e+00 4.662468e+00 1.094046e+00 4.044239e-01 8.108036e-01
2 2.899001e-01 8.317185e-01 1.444427e+00 1.743109e+00 1.027432e+00
3 1.259966e+00 2.252211e-01 5.450586e+00 5.836920e+00 6.469183e-01
4 4.806647e-01 4.244031e+00 5.002777e+00 1.738412e+00 5.527020e+00
5 2.375311e+00 9.007345e-01 1.727688e+00 1.967503e+00 2.248556e+00
6 1.620166e-01 4.002341e-01 1.789090e+00 9.912042e-01 8.078125e-01
7 2.045117e+00 1.951306e+00 2.969714e+00 2.745962e+00 3.740178e+00
8 4.370310e-01 3.984127e-01 3.608932e+00 2.200671e+00 1.849610e+00
9 2.112242e+00 6.281839e-01 9.484866e-01 1.651753e+00 2.351197e+00
10 8.841429e-01 2.758719e+00 2.835468e+00 3.228682e+00 7.744726e+00
11 4.505286e+00 3.820550e+00 4.275174e+00 5.641275e+00 7.037537e+00
12 4.143089e-01 1.368634e+00 1.254845e+01 2.722722e+00 2.395453e+00
13 1.121587e+00 2.899072e+00 4.960035e+00 4.490247e+00 8.501999e+00
14 9.851197e-01 2.128011e+00 1.912805e+00 4.341773e+00 3.147374e+00
15 1.876408e+00 7.143498e+00 7.562098e+00 5.814854e+00 7.270020e+00
16 4.279531e-01 1.689250e+00 1.794362e+00 2.337351e+00 2.290657e+00
17 1.967817e+00 1.125453e+00 1.908228e+00 2.816580e+00 3.233346e+00
18 1.016339e+00 1.923659e+00 2.932525e+00 4.133987e+00 5.416492e+00
19 5.058185e-01 1.669862e+00 2.852307e+00 1.599971e+00 5.552367e+00
20 1.478440e+00 2.979373e+00 4.243159e+00 6.555790e+00 7.144900e+00
21 1.424515e+00 1.435524e+00 2.063177e+00 4.083347e+00 3.434672e+00
22 5.972268e-01 1.460902e+00 2.957620e+00 7.538120e+00 4.619433e+00
23 1.251893e+00 2.653850e+00 3.645029e+00 4.026603e+00 5.590018e+00
24 1.536248e+00 3.289350e+00 4.659112e+00 7.260234e+00 7.066941e+00
25 1.438956e+00 5.143624e+00 3.194728e+00 4.706947e+00 5.513676e+00
26 2.349270e+00 2.468531e+00 5.179914e+00 4.759387e+00 6.120785e+00
27 1.954643e+00 5.845017e+00 4.403818e+00 5.187845e+00 8.447431e+00
28 1.899850e+00 8.627880e-01 2.380767e+00 1.355444e+00 1.575035e+00
29 2.004820e+00 8.500706e-01 2.574731e+00 1.332943e+00 2.318687e+00
30 1.122384e+00 1.962105e+00 3.681425e+00 5.375400e+00 5.137441e+00
31 7.569293e-01 2.534584e+00 3.800084e+00 2.075017e+00 3.362158e-01
32 1.007158e+00 1.536727e+00 4.487292e+00 3.619704e+00 3.576741e+00
33 5.855871e-01 9.722802e-01 2.397203e+00 2.008181e+00 2.235185e+00
34 1.689921e+00 5.505670e+00 5.776267e+00 6.590140e+00 9.535255e+00
35 1.432239e+00 2.280838e+00 2.819823e+00 7.493713e+00 9.121745e+00
36 1.479037e+00 3.068086e+00 4.299476e+00 6.174253e+00 8.700874e+00
37 2.620216e+00 3.493813e+00 5.395188e+00 7.711146e+00 9.539234e+00
38 1.890886e+00 3.427180e+00 6.006081e+00 1.084585e+01 9.489738e+00
39 6.661429e-01 1.658047e+00 2.098189e+00 2.519271e+00 3.882147e+00
40 2.211621e+00 4.042872e+00 6.260728e+00 7.278293e+00 9.411335e+00
41 3.677280e+00 3.260402e+00 4.948000e+00 7.127300e+00 6.374952e+00
42 1.932095e+00 2.090081e+00 3.106927e+00 4.995611e+00 8.772503e+00
43 2.062423e+00 3.270022e+00 4.258894e+00 6.201448e+00 5.353353e+00
44 1.242046e+00 6.645014e+00 3.928540e-01 8.052269e+00 1.010208e+00
45 2.184036e+00 3.329288e+00 4.727856e+00 6.712825e+00 8.335030e+00
46 1.203130e+00 2.423371e+00 3.741589e+00 6.148590e+00 5.826080e+00
47 2.290493e+00 2.156471e+00 3.302015e+00 5.795123e+00 6.285164e+00
48 3.153884e+00 1.444778e+00 1.618632e+00 5.342119e+00 1.439997e+00
49 2.022057e+00 3.343787e+00 9.818718e+00 7.144469e+00 9.186047e+00
50 9.076309e-01 1.966157e+00 2.683783e+00 3.538960e+00 4.510747e+00
;
param A2:
 1 2 3 4 5 :=
1    3.518139    4.461457    0.792530    0.002403    0.308277
2    0.092480    0.436879    0.852167    0.953430    0.040333
3    1.169125    0.043539    5.178063    5.473556    0.192714
4    0.065611    3.413923    3.757614    0.078195    3.451750
5    1.934453    0.019018    0.405114    0.204071    0.044265
6    0.001327    0.078855    1.307022    0.348446    0.004365
7    1.371443    0.603958    0.948692    0.051266    0.371809
8    0.328472    0.181294    3.283255    1.766434    1.306813
9    1.842138    0.087975    0.138174    0.571336    1.000675
10    0.110831    1.212095    0.515531    0.135433    3.878164
11    3.099151    1.008280    0.056768    0.016734    0.006862
12    0.000023    0.540063   11.305596    1.065580    0.324026
13    0.112890    0.881677    1.933943    0.455457    3.458512
14    0.371654    0.901078    0.072406    1.887909    0.080043
15    0.422984    4.236650    3.201826    0.001158    0.002899
16    0.051330    0.936005    0.664494    0.830860    0.407544
17    1.441418    0.072655    0.329031    0.710984    0.601351
18    0.057627    0.006235    0.056390    0.299140    0.622933
19    0.106516    0.871257    1.654400    0.002762    3.555855
20    0.064285    0.151064    0.000695    0.899172    0.074127
21    0.738779    0.064051    0.005968    1.340403    0.005991
22    0.001640    0.269730    1.170860    5.155774    1.641501
23    0.266409    0.682882    0.688576    0.084666    0.662597
24    0.126728    0.470311    0.430553    1.622156    0.019343
25    0.462844    3.191399    0.266391    0.802498    0.633114
26    1.164106    0.098204    1.624423    0.018733    0.194967
27    0.737342    3.410415    0.751915    0.318641    2.360926
28    1.584984    0.233055    1.436167    0.095977    0.000702
29    1.698978    0.238387    1.657205    0.109575    0.789477
30    0.141745    0.000828    0.739509    1.452845    0.234247
31    0.741849    2.504423    3.754843    2.014696    0.260814
32    0.295051    0.112514    2.350972    0.771277    0.016207
33    0.185725    0.172557    1.197618    0.408734    0.235876
34    0.084930    2.295688    0.961294    0.170176    1.510299
35    0.493243    0.402847    0.002837    3.737732    4.426768
36    0.061897    0.233806    0.048056    0.505692    1.615173
37    0.876443    0.006266    0.163868    0.736053    0.820368
38    0.202567    0.050541    0.941123    4.092577    1.048142
39    0.036342    0.398447    0.208787    0.000069    0.733145
40    0.473737    0.567104    1.047077    0.326758    0.721917
41    2.405706    0.717253    1.133277    2.041003    0.017081
42    0.903770    0.033432    0.021952    0.882312    3.630879
43    0.993514    1.132203    1.052165    1.925810    0.008806
44    1.139615    6.440152    0.085561    7.642544    0.498052
45    0.618122    0.197459    0.030112    0.449166    0.505457
46    0.040390    0.097890    0.253368    1.497628    0.012378
47    1.219971    0.015427    0.090449    1.513035    0.932554
48    2.868954    0.874918    0.763842    4.202399    0.015347
49    0.364885    0.029444    4.847204    0.515783    0.900189
50    0.024597    0.200089    0.034681    0.006823    0.095576
;
param b:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 :=
1    11.158595     6.625702    14.837858    25.620407    13.463679     4.968530    23.924313     9.668006     9.972246    36.434470    65.667447    28.608493    52.384094    22.198165    79.659102    12.579351    17.980160    35.487227    19.045103    64.623131    23.258933    31.606813    39.037156    67.969340    43.282415    51.448980    64.795987    10.591370    12.028514    39.833895     9.636327    26.930675    12.343397    89.260057    54.552401    69.774031    94.652051   104.203313    19.937267    95.283141    63.559390    50.914415    48.833871    19.167117    77.170606    49.374398    47.280941    16.770226    98.762122    29.499063
;
